FTLS
	US Dollar	
CYBR	CyberArk Software Ltd.	/etf/ea/ETZCW.djhtm?c=1&etfid=CYBR.US&back=FTLS
TW	Tradeweb Markets Inc. (Class A)	/etf/ea/ETZCW.djhtm?c=1&etfid=TW.US&back=FTLS
SIGA	SIGA Technologies,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=SIGA.US&back=FTLS
SEE	Sealed Air Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=SEE.US&back=FTLS
ROL	Rollins,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=ROL.US&back=FTLS
RNR	RenaissanceRe Holdings Ltd.	/etf/ea/ETZCW.djhtm?c=1&etfid=RNR.US&back=FTLS
WY	Weyerhaeuser Company	/etf/ea/ETZCW.djhtm?c=1&etfid=WY.US&back=FTLS
PXD	Pioneer Natural Resources Company	/etf/ea/ETZCW.djhtm?c=1&etfid=PXD.US&back=FTLS
QLYS	Qualys,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=QLYS.US&back=FTLS
VLO	Valero Energy Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=VLO.US&back=FTLS
AMGN	Amgen Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=AMGN.US&back=FTLS
CELH	Celsius Holdings,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CELH.US&back=FTLS
CHK	Chesapeake Energy Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=CHK.US&back=FTLS
CIVI	Civitas Resources Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CIVI.US&back=FTLS
CTRA	Coterra Energy Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CTRA.US&back=FTLS
CVE	Cenovus Energy Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CVE.US&back=FTLS
HSBC	HSBC Holdings Plc (ADR)	/etf/ea/ETZCW.djhtm?c=1&etfid=HSBC.US&back=FTLS
SFM	Sprouts Farmers Market,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=SFM.US&back=FTLS
MTDR	Matador Resources Company	/etf/ea/ETZCW.djhtm?c=1&etfid=MTDR.US&back=FTLS
NICE	NICE Ltd. (ADR)	/etf/ea/ETZCW.djhtm?c=1&etfid=NICE.US&back=FTLS
MGY	Magnolia Oil & Gas Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=MGY.US&back=FTLS
MPC	Marathon Petroleum Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=MPC.US&back=FTLS
LNG	Cheniere Energy,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=LNG.US&back=FTLS
MEDP	Medpace Holdings,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=MEDP.US&back=FTLS
PBF	PBF Energy Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=PBF.US&back=FTLS
CVX	Chevron Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=CVX.US&back=FTLS
AR	Antero Resources Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=AR.US&back=FTLS
CROX	Crocs,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CROX.US&back=FTLS
DUK	Duke Energy Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=DUK.US&back=FTLS
OKE	ONEOK,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=OKE.US&back=FTLS
KMI	Kinder Morgan,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=KMI.US&back=FTLS
MOS	The Mosaic Company	/etf/ea/ETZCW.djhtm?c=1&etfid=MOS.US&back=FTLS
RSG	Republic Services,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=RSG.US&back=FTLS
